aX,aY,aZ,gX,gY,gZ
-0.344,-0.237,0.783,-63.293,-57.434,48.218
-0.339,-0.279,0.843,-59.753,-63.171,35.278
-0.337,-0.312,0.907,-52.185,-63.965,25.757
-0.324,-0.301,0.970,-43.091,-57.861,20.081
-0.256,-0.209,1.029,-28.748,-42.297,17.944
-0.184,-0.164,1.082,-14.465,-21.790,21.484
-0.099,-0.107,1.115,-2.197,-3.784,28.625
-0.056,-0.102,1.148,6.042,7.263,35.461
-0.059,-0.126,1.190,7.385,7.935,40.833
-0.099,-0.149,1.223,0.610,-0.610,41.382
-0.150,-0.175,1.225,-11.902,-12.878,33.081
-0.166,-0.218,1.187,-25.635,-22.827,19.409
-0.151,-0.263,1.141,-36.316,-28.320,4.517
-0.125,-0.302,1.083,-42.236,-30.029,-4.456
-0.097,-0.328,1.020,-45.776,-27.954,-7.690
-0.030,-0.294,0.992,-45.837,-20.996,-4.944
0.032,-0.239,0.997,-40.405,-12.268,-0.488
0.070,-0.174,1.008,-30.701,-4.761,4.883
0.080,-0.115,1.020,-21.545,-0.916,10.437
0.057,-0.074,1.027,-16.052,-0.610,14.038
0.021,-0.063,1.025,-14.282,-1.465,15.320
-0.023,-0.076,1.014,-15.198,-1.465,15.503
-0.057,-0.106,0.999,-17.700,-0.244,15.198
-0.073,-0.118,0.966,-22.400,2.380,13.916
-0.076,-0.115,0.924,-27.161,5.493,12.085
-0.035,-0.057,0.913,-29.297,8.911,10.864
0.010,0.017,0.930,-26.001,12.390,10.620
0.021,0.058,0.963,-19.226,12.695,11.719
0.011,0.102,1.007,-12.329,9.399,12.756
-0.018,0.126,1.050,-7.263,7.751,14.038
-0.048,0.131,1.073,-3.418,10.376,15.076
-0.085,0.094,1.073,-0.366,15.381,16.113
-0.114,0.028,1.059,1.587,20.447,16.357
-0.121,-0.039,1.039,-0.427,23.743,14.893
-0.098,-0.056,1.031,-4.761,24.353,11.475
-0.060,-0.045,1.010,-10.681,25.208,10.559
