aX,aY,aZ,gX,gY,gZ
-0.051,0.198,0.930,-0.854,-0.061,0.977

0.779,0.712,1.708,-56.824,57.678,-34.485
0.707,0.734,1.908,-36.438,52.246,-36.133
0.637,0.606,2.110,-33.936,48.340,-30.457
0.515,0.413,2.280,-52.917,42.664,-21.423
0.440,0.279,2.365,-85.693,31.982,-14.038
0.392,0.235,2.312,-108.826,11.963,-14.221
0.415,0.249,2.253,-115.601,-3.601,-17.090
0.405,0.354,2.078,-120.667,-11.414,-24.109
0.370,0.412,1.787,-109.436,-18.005,-29.663
0.325,0.473,1.950,-96.436,-7.019,-38.940
0.264,0.564,1.979,-69.214,-19.897,-52.856
0.232,0.643,1.824,-31.067,-38.818,-63.904
0.132,0.624,1.679,-6.836,-45.898,-68.909
0.003,0.572,1.614,-0.244,-46.265,-68.604
-0.121,0.518,1.581,0.793,-43.335,-67.200
-0.192,0.454,1.546,2.197,-39.612,-68.237
-0.227,0.377,1.483,6.104,-37.659,-69.153
-0.231,0.342,1.440,9.277,-33.630,-73.120
-0.227,0.337,1.430,14.587,-28.625,-79.773
-0.214,0.344,1.409,22.644,-24.719,-86.609
-0.203,0.351,1.379,32.104,-22.705,-92.346
-0.213,0.377,1.353,42.114,-22.461,-96.375
-0.237,0.429,1.350,51.392,-24.841,-97.778
-0.278,0.494,1.299,56.580,-31.128,-95.886
-0.335,0.546,1.228,57.556,-38.940,-90.332
-0.384,0.569,1.132,54.565,-47.363,-81.299
-0.423,0.571,1.008,46.936,-55.786,-70.313
-0.463,0.545,0.891,35.461,-61.279,-57.800
-0.480,0.502,0.788,23.621,-63.354,-47.913
-0.488,0.424,0.665,15.869,-62.317,-40.833
-0.494,0.374,0.565,10.681,-55.969,-38.086
-0.483,0.352,0.522,11.230,-44.739,-38.818
-0.475,0.345,0.502,20.569,-34.851,-41.992
-0.443,0.368,0.533,36.011,-26.550,-46.204
-0.416,0.367,0.603,50.964,-17.456,-49.011
-0.390,0.379,0.669,59.204,-12.817,-48.157
-0.372,0.415,0.697,57.190,-14.832,-43.579
-0.367,0.454,0.686,48.157,-21.851,-35.034
-0.374,0.458,0.646,35.706,-29.602,-24.536
-0.371,0.422,0.561,23.743,-36.194,-12.756
-0.354,0.348,0.487,13.367,-39.063,-2.441
-0.333,0.315,0.447,3.601,-37.170,5.005
-0.304,0.254,0.446,-2.991,-32.532,11.353
-0.262,0.200,0.477,-5.310,-25.879,13.794
-0.222,0.158,0.554,-4.028,-17.883,12.695
-0.187,0.140,0.641,-0.732,-11.230,8.362
-0.176,0.159,0.693,3.540,-7.996,2.563
-0.178,0.201,0.717,7.751,-6.592,-2.441
-0.184,0.265,0.746,10.559,-5.859,-5.676
-0.187,0.296,0.770,9.583,-6.348,-5.188
-0.184,0.313,0.754,3.967,-9.155,-1.465
-0.183,0.319,0.711,-3.235,-11.475,3.906
-0.178,0.303,0.681,-7.690,-10.376,9.583
-0.152,0.270,0.694,-9.888,-5.249,13.367
