aX,aY,aZ,gX,gY,gZ
0.473,-0.156,0.535,19.531,14.404,-51.941
0.390,-0.075,0.575,13.367,26.611,-52.368
0.343,-0.042,0.653,12.817,35.522,-54.077
0.278,-0.083,0.718,16.541,37.354,-52.612
0.225,-0.149,0.834,15.381,40.894,-49.377
0.186,-0.239,0.952,9.155,43.213,-47.729
0.161,-0.317,1.047,2.625,39.368,-49.133
0.156,-0.378,1.107,-4.028,29.724,-52.856
0.140,-0.393,1.113,-7.751,16.357,-59.937
0.106,-0.340,1.026,-9.155,-0.610,-68.542
0.047,-0.263,0.900,-10.498,-13.672,-75.806
-0.022,-0.167,0.804,-14.465,-19.470,-80.994
-0.098,-0.081,0.781,-17.151,-18.311,-82.153
-0.155,-0.048,0.814,-15.076,-13.245,-79.590
-0.237,-0.040,0.886,-13.550,-7.874,-75.256
-0.259,-0.024,0.969,-13.062,-4.517,-72.876
-0.290,-0.027,0.989,-11.475,-6.653,-70.374
-0.316,-0.027,0.982,-12.268,-11.658,-67.139
-0.337,-0.040,0.947,-13.428,-15.991,-64.026
-0.374,-0.059,0.906,-13.977,-19.714,-61.584
-0.410,-0.059,0.879,-15.564,-20.203,-59.998
-0.431,-0.057,0.876,-18.127,-18.433,-58.289
-0.443,-0.067,0.898,-19.958,-15.198,-55.969
-0.455,-0.092,0.952,-20.142,-11.536,-53.955
-0.449,-0.112,1.012,-18.372,-8.606,-52.979
-0.461,-0.106,1.064,-16.113,-8.301,-53.528
-0.468,-0.062,1.088,-14.099,-10.132,-54.688
-0.503,0.020,1.105,-11.719,-12.939,-54.810
-0.537,0.081,1.082,-7.874,-16.296,-51.575
-0.553,0.085,1.036,-4.211,-19.531,-45.227
-0.552,0.074,1.015,-4.272,-20.386,-38.391
-0.547,0.057,0.998,-6.226,-19.775,-32.410
-0.533,0.035,0.964,-7.446,-18.677,-27.283
-0.518,0.015,0.934,-7.324,-16.113,-23.132
-0.489,0.003,0.911,-5.981,-12.085,-20.142
-0.478,0.012,0.915,-3.906,-7.019,-18.433
-0.466,0.036,0.958,-1.648,-1.404,-16.724
-0.450,0.037,1.009,1.465,2.930,-13.855
-0.437,0.024,1.057,4.333,4.700,-10.559
-0.418,-0.004,1.081,5.676,3.906,-6.653
-0.393,-0.030,1.074,4.883,0.671,-2.930
-0.370,-0.051,1.035,2.014,-2.502,0.122
-0.355,-0.069,1.001,-1.282,-4.883,3.174
-0.333,-0.101,0.955,-2.197,-6.165,5.981
-0.316,-0.131,0.916,-0.977,-5.554,7.446
-0.300,-0.138,0.900,0.122,-3.418,7.690
-0.284,-0.124,0.900,2.502,-0.305,7.446
-0.268,-0.112,0.917,5.798,3.479,7.507
-0.241,-0.116,0.927,8.545,6.470,8.118
-0.223,-0.120,0.960,9.949,8.789,8.362
-0.204,-0.121,1.000,11.292,10.742,8.118
-0.191,-0.125,1.031,11.719,10.010,7.935
-0.177,-0.129,1.048,10.132,7.080,8.423
-0.166,-0.134,1.032,7.080,2.380,9.399
-0.164,-0.141,0.986,2.991,-3.235,10.864
-0.163,-0.167,0.918,-0.305,-7.202,12.634
-0.156,-0.195,0.862,-2.258,-8.484,13.489
-0.150,-0.218,0.834,-2.502,-6.897,13.489
-0.135,-0.225,0.824,-0.793,-3.479,12.268
-0.131,-0.217,0.844,2.380,1.465,10.315
-0.127,-0.203,0.896,4.822,7.202,8.057
-0.123,-0.199,0.954,7.141,10.864,6.470
-0.115,-0.195,0.990,7.874,11.475,4.883
-0.121,-0.182,1.001,7.202,9.827,3.540
-0.124,-0.160,1.003,5.615,7.019,2.625
