aX,aY,aZ,gX,gY,gZ
-0.793,0.670,-0.270,119.507,-32.532,55.969
-0.682,0.504,-0.177,95.886,-20.874,73.547
-0.601,0.350,-0.146,70.923,-18.250,86.792
-0.517,0.236,-0.185,51.147,-20.447,94.788
-0.444,0.162,-0.263,39.551,-22.095,97.595
-0.343,0.143,-0.349,31.738,-20.752,96.619
-0.234,0.119,-0.377,26.123,-14.465,93.445
-0.103,0.128,-0.339,21.606,-2.930,89.722
0.044,0.141,-0.255,18.250,11.353,86.670
0.182,0.142,-0.129,12.085,24.597,85.083
0.351,0.139,0.014,2.258,35.034,84.412
0.532,0.151,0.225,-8.911,44.128,82.458
0.725,0.149,0.444,-22.217,49.377,78.613
0.876,0.117,0.574,-33.997,47.241,74.280
0.995,0.109,0.610,-44.250,41.992,68.176
1.052,0.115,0.645,-54.077,40.405,59.814
1.094,0.098,0.729,-63.416,46.143,51.147
1.131,0.046,0.843,-67.505,56.641,43.335
1.203,-0.048,0.997,-62.500,69.702,34.790
1.259,-0.156,1.218,-51.636,81.848,23.071
1.320,-0.241,1.473,-37.415,89.661,7.751
1.327,-0.315,1.672,-19.653,89.172,-9.827
1.318,-0.346,1.794,-6.836,79.468,-29.053
1.225,-0.303,1.872,-5.310,62.500,-47.302
1.065,-0.219,1.898,-10.986,43.457,-61.218
0.880,-0.129,1.875,-15.259,25.269,-68.542
0.695,-0.070,1.822,-16.541,11.108,-72.510
0.533,-0.044,1.799,-13.245,3.052,-78.125
0.394,-0.014,1.777,-5.188,-2.502,-86.853
0.255,0.071,1.711,2.747,-8.972,-97.595
0.087,0.224,1.645,8.789,-15.869,-108.459
-0.115,0.432,1.584,13.672,-21.545,-116.577
-0.287,0.544,1.519,16.907,-27.222,-117.981
-0.433,0.598,1.508,19.592,-31.067,-113.586
-0.513,0.645,1.538,26.184,-31.250,-109.070
-0.571,0.655,1.609,24.353,-33.936,-100.525
-0.640,0.652,1.605,19.775,-41.077,-90.393
-0.648,0.630,1.591,18.921,-52.307,-81.909
-0.710,0.621,1.427,20.813,-67.871,-75.439
-0.775,0.649,1.224,26.306,-76.660,-71.350
-0.860,0.660,1.062,37.354,-75.562,-68.115
-0.926,0.697,1.002,51.331,-66.345,-64.697
-0.951,0.773,0.992,65.369,-55.847,-60.181
-0.952,0.853,1.000,74.280,-48.706,-51.697
-0.939,0.905,0.969,73.853,-46.387,-37.964
-0.914,0.904,0.890,64.209,-50.659,-20.691
-0.887,0.847,0.764,50.781,-57.007,-1.282
-0.849,0.763,0.664,39.673,-59.875,16.479
-0.798,0.666,0.578,32.776,-58.533,31.067
-0.750,0.550,0.523,30.212,-53.894,42.664
-0.683,0.437,0.508,28.870,-46.509,50.659
-0.618,0.363,0.486,31.067,-39.795,55.603
-0.556,0.319,0.470,39.612,-32.776,58.960
-0.490,0.279,0.469,50.354,-25.513,62.012
-0.430,0.240,0.449,56.885,-20.752,64.819
-0.370,0.207,0.416,54.504,-18.250,67.200
-0.304,0.218,0.340,44.983,-16.479,68.054
-0.271,0.232,0.310,33.508,-11.475,69.336
-0.253,0.235,0.344,22.217,-2.625,71.167
-0.235,0.204,0.377,16.663,4.883,74.158
-0.232,0.139,0.377,14.404,10.132,76.843
-0.193,0.056,0.371,12.329,15.747,78.796
-0.130,-0.033,0.376,9.827,22.217,79.285
